79, 3989, 1387, -1462
184, 3990, 1384, -1444
289, 3991, 1382, -1452
310, 3991, 1381, -1453
330, 3992, 1380, -1455
405, 3992, 1380, -1461
426, 3992, 1380, -1463
562, 3991, 1381, -1470
590, 3991, 1381, -1471
614, 3991, 1381, -1472
635, 3991, 1381, -1472
708, 3991, 1381, -1474
733, 3991, 1381, -1475
834, 3988, 1382, -1470
855, 3987, 1383, -1471
874, 3986, 1384, -1471
948, 3932, 1390, -1424
968, 3894, 1394, -1470
1046, 3854, 1419, -1583
1068, 3823, 1438, -1580
1141, 3760, 1457, -1543
1162, 3714, 1470, -1539
1239, 3592, 1498, -1458
1263, 3504, 1520, -1454
1346, 3360, 1570, -1384
1381, 3255, 1607, -1377
1454, 3111, 1661, -1316
1479, 3004, 1701, -1305
1552, 2905, 1738, -1282
1573, 2835, 1765, -1273
1649, 2709, 1805, -1208
1670, 2611, 1832, -1191
1746, 2434, 1865, -1098
1767, 2310, 1887, -1087
1841, 2111, 1917, -992
1863, 1966, 1938, -977
1937, 1828, 1956, -942
1959, 1725, 1970, -916
2045, 1502, 1997, -758
2066, 1337, 2016, -724
2141, 1057, 2028, -582
2162, 860, 2034, -565
2235, 607, 2026, -517
2257, 437, 2021, -512
2332, 303, 2021, -488
2353, 217, 2025, -474
2428, 117, 2043, -400
2449, 51, 2059, -382
2526, -45, 2109, -273
2547, -113, 2145, -247
2625, -170, 2187, -180
2647, -208, 2219, -160
2731, -268, 2277, -39
2753, -307, 2317, -24
2774, -331, 2345, -12
2848, -437, 2392, 0
2872, -522, 2420, 6
2949, -478, 2463, 70
2972, -421, 2496, 77
3048, -233, 2529, 98
3070, -88, 2548, 96
3145, 71, 2553, 87
3169, 179, 2554, 84
3244, 398, 2617, 100
3266, 548, 2658, 101
3340, 693, 2671, 127
3362, 789, 2672, 129
3444, 844, 2643, 103
3468, 875, 2622, 97
3491, 914, 2603, 96
3566, 1104, 2546, 80
3588, 1245, 2508, 65
3663, 1273, 2442, 32
3686, 1268, 2392, 23
3759, 1202, 2338, 4
3781, 1150, 2302, 1
3854, 1223, 2207, -66
3876, 1287, 2136, -84
3948, 1375, 2060, -126
