"t","x"
.1,-45
.2,5535
.3,-1305
.4,2835
.5,-855
.6,3330
.7,-1260
.8,4545
.9,-990
1.0,3420
1.1,-1260
1.2,4275
1.3,-1080
1.4,4635
1.5,-1305
