73, 2389, 1396, -3974
160, 2392, 1396, -3968
186, 2393, 1396, -3967
252, 2395, 1396, -3966
273, 2395, 1396, -3966
338, 2396, 1396, -3966
356, 2396, 1396, -3967
388, 2396, 1396, -3967
507, 2396, 1396, -3967
529, 2396, 1396, -3967
550, 2396, 1396, -3967
626, 2395, 1396, -3968
653, 2397, 1396, -3964
723, 2407, 1396, -3941
745, 2414, 1396, -3935
812, 2419, 1399, -3911
832, 2411, 1400, -3927
897, 2365, 1394, -4010
918, 2322, 1387, -4038
982, 2290, 1378, -4011
1005, 2268, 1372, -4004
1072, 2245, 1365, -3960
1093, 2228, 1360, -3950
1113, 2216, 1357, -3940
1188, 2193, 1355, -3867
1207, 2175, 1354, -3856
1229, 2162, 1353, -3844
1297, 2137, 1357, -3765
1319, 2116, 1361, -3745
1388, 2094, 1366, -3704
1411, 2077, 1371, -3688
1481, 2046, 1382, -3599
1507, 2023, 1391, -3579
1577, 1980, 1408, -3462
1597, 1948, 1422, -3437
1617, 1924, 1432, -3415
1685, 1875, 1454, -3275
1705, 1837, 1470, -3243
1776, 1796, 1488, -3170
1798, 1766, 1502, -3146
1876, 1710, 1528, -2992
1898, 1671, 1546, -2971
1921, 1638, 1562, -2935
1991, 1577, 1590, -2765
2012, 1532, 1611, -2735
2076, 1461, 1644, -2557
2097, 1406, 1669, -2507
2163, 1348, 1694, -2408
2184, 1304, 1713, -2373
2249, 1232, 1744, -2190
2269, 1180, 1766, -2153
2288, 1136, 1785, -2104
2354, 1045, 1822, -1856
2374, 977, 1848, -1807
2393, 920, 1871, -1744
2458, 805, 1917, -1431
2477, 718, 1950, -1369
2499, 640, 1979, -1273
2572, 479, 2018, -911
2593, 363, 2041, -863
2612, 279, 2054, -830
2677, 175, 2057, -708
2696, 103, 2058, -686
2714, 51, 2059, -663
2778, -5, 2066, -569
2796, -43, 2074, -550
2815, -66, 2084, -527
2879, -86, 2115, -424
2898, -97, 2141, -399
2918, -102, 2166, -371
2986, -105, 2224, -238
3012, -106, 2272, -203
3079, -104, 2350, -57
3098, -104, 2409, -22
3168, -109, 2465, 51
3191, -113, 2501, 61
3266, -114, 2532, 81
3287, -112, 2552, 79
3309, -106, 2566, 75
3375, -188, 2605, 178
3397, -250, 2642, 197
3466, -312, 2693, 231
3488, -339, 2726, 233
3559, -224, 2710, 196
3579, -127, 2689, 180
3647, -4, 2643, 128
3668, 81, 2609, 115
3737, 192, 2620, 164
3761, 263, 2632, 182
3829, 314, 2651, 215
3852, 358, 2659, 208
3927, 457, 2612, 114
3948, 528, 2573, 92
3970, 579, 2540, 73
4040, 765, 2495, 8
4061, 899, 2460, -8
4084, 1002, 2435, -29
4153, 1097, 2410, -67
4176, 1158, 2392, -78
4244, 1195, 2379, -84
4267, 1215, 2371, -84
4334, 1339, 2310, -228
4355, 1443, 2260, -274
4421, 1572, 2198, -393
4442, 1652, 2158, -399
4514, 1582, 2164, -248
4536, 1508, 2175, -214
4614, 1380, 2198, -138
4636, 1291, 2215, -128
4658, 1227, 2228, -121
4726, 1259, 2181, -242
4748, 1294, 2144, -271
4816, 1348, 2102, -333
4838, 1385, 2076, -336
4906, 1396, 2092, -254
4928, 1396, 2110, -228
4998, 1380, 2144, -171
5016, 1367, 2167, -162
5083, 1452, 2133, -287
5107, 1527, 2101, -341
5176, 1603, 2061, -404
5198, 1651, 2038, -396
5273, 1646, 2084, -217
5294, 1634, 2123, -181
5316, 1618, 2157, -152
5388, 1702, 2133, -230
5410, 1772, 2106, -260
5480, 1854, 2069, -342
5505, 1903, 2053, -325
5574, 1890, 2102, -153
5597, 1868, 2147, -112
5665, 1821, 2204, -33
5687, 1787, 2243, -20
5756, 1830, 2242, 19
5778, 1869, 2231, 37
5846, 1926, 2197, 65
5868, 1962, 2175, 72
5943, 1961, 2184, 114
5963, 1955, 2193, 120
5983, 1947, 2203, 124
6054, 1991, 2143, 288
6074, 2028, 2099, 308
6143, 2077, 2048, 342
6165, 2109, 2017, 344
6232, 2111, 2042, 311
6254, 2106, 2069, 298
6322, 2084, 2111, 267
6345, 2066, 2141, 261
6413, 2080, 2095, 470
6435, 2096, 2057, 504
6507, 2124, 2006, 570
6530, 2145, 1979, 566
6607, 2157, 2043, 400
6630, 2163, 2096, 362
6653, 2165, 2140, 332
6726, 2177, 2117, 571
6748, 2189, 2087, 610
6813, 2207, 2038, 676
6834, 2217, 2013, 667
6898, 2190, 2067, 469
6917, 2164, 2115, 411
6938, 2138, 2159, 361
7010, 2114, 2149, 516
7032, 2106, 2128, 548
7099, 2122, 2077, 604
7118, 2130, 2041, 597
7182, 2116, 2009, 387
7200, 2102, 1989, 330
7219, 2088, 1976, 283
7294, 2071, 1843, 301
7315, 2059, 1749, 316
7337, 2050, 1680, 329
7406, 2027, 1624, 221
7425, 2010, 1589, 185
7491, 1988, 1572, 99
7514, 1973, 1565, 82
7581, 1917, 1498, -19
7603, 1876, 1437, -38
7668, 1834, 1356, -70
7688, 1807, 1303, -76
7707, 1791, 1274, -80
7776, 1793, 1294, -91
7797, 1797, 1317, -92
7866, 1773, 1232, -223
7888, 1745, 1166, -250
7962, 1744, 1140, -204
7981, 1752, 1129, -190
8005, 1769, 1131, -175
8072, 1805, 1155, -137
8095, 1832, 1175, -128
8162, 1822, 1121, -233
8184, 1803, 1074, -261
8252, 1768, 1011, -298
8274, 1748, 971, -297
8342, 1777, 973, -202
8365, 1804, 984, -170
8432, 1841, 1016, -107
8455, 1868, 1042, -93
8529, 1864, 965, -164
8552, 1858, 907, -185
8630, 1865, 855, -156
8652, 1872, 822, -143
8674, 1879, 802, -133
8743, 1889, 796, -107
8765, 1897, 794, -102
